DateKey,Date,Year,Quarter,Month,Day,WeekdayName
9899397523633632391,2021-03-23,2021,1,3,23,Tuesday
9899397523633632391,2021-03-23,2021,1,3,23,Tuesday
1416338785262814244,2021-03-30,2021,1,3,30,Tuesday
1416338785262814244,2021-03-30,2021,1,3,30,Tuesday
1416338785262814244,2021-03-30,2021,1,3,30,Tuesday
1416338785262814244,2021-03-30,2021,1,3,30,Tuesday
1416338785262814244,2021-03-30,2021,1,3,30,Tuesday
1416338785262814244,2021-03-30,2021,1,3,30,Tuesday
5934552132842758655,2022-03-01,2022,1,3,1,Tuesday
6283996005188627657,2022-03-08,2022,1,3,8,Tuesday
1008882689536560101,2022-03-15,2022,1,3,15,Tuesday
1008882689536560101,2022-03-15,2022,1,3,15,Tuesday
14496447649051199207,2022-03-22,2022,1,3,22,Tuesday
14496447649051199207,2022-03-22,2022,1,3,22,Tuesday
14496447649051199207,2022-03-22,2022,1,3,22,Tuesday
14496447649051199207,2022-03-22,2022,1,3,22,Tuesday
14496447649051199207,2022-03-22,2022,1,3,22,Tuesday
14496447649051199207,2022-03-22,2022,1,3,22,Tuesday
14496447649051199207,2022-03-22,2022,1,3,22,Tuesday
11910862188494975802,2021-03-20,2021,1,3,20,Saturday
13701063401616412864,2021-03-27,2021,1,3,27,Saturday
13701063401616412864,2021-03-27,2021,1,3,27,Saturday
13701063401616412864,2021-03-27,2021,1,3,27,Saturday
13701063401616412864,2021-03-27,2021,1,3,27,Saturday
13701063401616412864,2021-03-27,2021,1,3,27,Saturday
13701063401616412864,2021-03-27,2021,1,3,27,Saturday
10941768887236797154,2022-03-05,2022,1,3,5,Saturday
12429165171529891450,2022-03-12,2022,1,3,12,Saturday
13073289536787560244,2022-03-19,2022,1,3,19,Saturday
13073289536787560244,2022-03-19,2022,1,3,19,Saturday
11109674247136264869,2022-03-26,2022,1,3,26,Saturday
11109674247136264869,2022-03-26,2022,1,3,26,Saturday
11109674247136264869,2022-03-26,2022,1,3,26,Saturday
11109674247136264869,2022-03-26,2022,1,3,26,Saturday
11109674247136264869,2022-03-26,2022,1,3,26,Saturday
11109674247136264869,2022-03-26,2022,1,3,26,Saturday
11109674247136264869,2022-03-26,2022,1,3,26,Saturday
11109674247136264869,2022-03-26,2022,1,3,26,Saturday
